University_Name,University_Name_Clean,Total_Enrollment,State,American_Indian_Alaska_Native_Diversity_Percent,Asian_Diversity_Percent,Black_Diversity_Percent,Hispanic_Diversity_Percent,Native_Hawaiian_Pacific_Islander_Diversity_Percent,Two_Or_More_Races_Diversity_Percent,Total_Minority_Diversity_Percent,Non-Resident_Foreign_Diversity_Percent,Unknown_Diversity_Percent,White_Diversity_Percent,Women_Diversity_Percent,Men_Diversity_Percent
Kaplan Career Institute at Nashville (Tenn.),Kaplan Career Institute Nashville (Tenn.),369,Tennessee,0.00%,1.10%,40.10%,7.90%,0.00%,0.00%,49.10%,0.30%,5.70%,45.00%,85.10%,14.90%
Vermont College of Fine Arts,Vermont College Fine Arts,369,Vermont,0.30%,1.40%,3.00%,4.60%,0.30%,1.90%,11.40%,1.40%,32.50%,54.70%,67.80%,32.20%
Brown Mackie College at Findlay (Ohio),Brown Mackie College Findlay (Ohio),369,Ohio,0.30%,3.00%,32.20%,4.90%,0.00%,0.00%,40.40%,0.00%,0.80%,58.80%,86.20%,13.80%
Art Institute of York-Pennsylvania,Art Institute York Pennsylvania,369,Pennsylvania,0.30%,1.60%,14.40%,12.20%,0.30%,0.00%,28.70%,0.00%,3.30%,68.00%,58.00%,42.00%
University of the West,University West,368,California,0.30%,20.10%,1.60%,17.90%,0.00%,1.90%,41.80%,46.70%,0.00%,11.40%,47.30%,52.70%
Adler Graduate School,Adler Graduate School,368,Minnesota,1.10%,2.20%,11.10%,2.20%,0.00%,0.00%,16.60%,0.00%,0.00%,83.40%,76.90%,23.10%
Sentara College of Health Sciences,Sentara College Health Sciences,367,Virginia,0.30%,9.30%,11.40%,1.10%,1.10%,3.30%,26.40%,0.00%,1.10%,72.50%,93.20%,6.80%
Everest University -Lakeland Campus (Fla.),Everest University Lakeland (Fla.),367,Florida,0.30%,1.40%,26.20%,21.80%,0.00%,3.80%,53.40%,0.00%,0.80%,45.80%,80.90%,19.10%
Fortis Institute at Nashville,Fortis Institute Nashville,367,Tennessee,0.30%,1.40%,38.10%,6.50%,0.00%,0.80%,47.10%,0.00%,3.00%,49.90%,64.90%,35.10%
Miami-Jacobs Career College at Columbus,Miami Jacobs Career College Columbus,366,Ohio,0.50%,0.80%,65.00%,3.00%,0.00%,3.30%,72.70%,0.00%,2.20%,25.10%,83.30%,16.70%
Sullivan College of Technology and Design,Sullivan College Technology and Design,365,Kentucky,0.30%,1.60%,12.10%,0.30%,0.50%,12.90%,27.70%,0.00%,3.60%,68.80%,29.90%,70.10%
American Academy of Art,American Academy Art,365,Illinois,0.00%,6.30%,9.90%,22.70%,0.50%,4.10%,43.60%,0.30%,0.00%,56.20%,58.90%,41.10%
Garrett-Evangelical Theological Seminary,Garrett Evangelical Theological Seminary,365,Illinois,0.00%,5.50%,17.50%,3.00%,0.00%,1.90%,27.90%,13.20%,2.20%,56.70%,52.30%,47.70%
College of Business and Technology-Flagler (Fla.),College Business and Technology Flagler (Fla.),364,Florida,0.00%,0.00%,1.10%,95.10%,0.00%,0.30%,96.40%,2.50%,0.30%,0.80%,11.30%,88.70%
Miller-Motte Technical College at Macon (Ga.),Miller Motte Technical College Macon (Ga.),363,Georgia,0.60%,0.00%,83.70%,1.90%,0.00%,0.00%,86.20%,0.00%,2.50%,11.30%,82.40%,17.60%
State University of New York College of Optometry,State University New York College Optometry,363,New York,0.00%,35.50%,2.80%,3.90%,0.00%,3.00%,45.20%,7.40%,0.00%,47.40%,72.70%,27.30%
Clary Sage College,Clary Sage College,362,Oklahoma,11.90%,1.10%,22.70%,5.50%,0.00%,3.90%,45.00%,0.00%,2.50%,52.50%,95.60%,4.40%
Global Health College,Global Health College,361,Virginia,0.00%,3.00%,31.60%,2.50%,0.00%,1.40%,38.50%,17.70%,41.80%,1.90%,87.30%,12.70%
Fox College,Fox College,360,Illinois,0.60%,3.30%,7.20%,31.70%,0.00%,1.70%,44.40%,0.00%,0.00%,55.60%,80.80%,19.20%
Lincoln Technical Institute at Philadelphia,Lincoln Technical Institute Philadelphia,360,Pennsylvania,0.60%,5.80%,43.10%,22.80%,0.30%,3.60%,76.10%,0.00%,3.60%,20.30%,6.40%,93.60%
National American University Harold D. Buckingham Graduate School,National American University Harold D. Buckingham Graduate School,358,Texas,2.00%,2.50%,22.10%,5.90%,0.60%,10.10%,43.00%,0.00%,3.40%,53.60%,68.40%,31.60%
Aultman College of Nursing and Health Sciences,Aultman College Nursing and Health Sciences,358,Ohio,0.80%,0.60%,4.50%,0.60%,0.00%,2.80%,9.20%,0.00%,3.10%,87.70%,87.40%,12.60%
Intellitec Medical Institute,Intellitec Medical Institute,357,Colorado,0.80%,3.10%,16.00%,20.70%,0.30%,3.40%,44.30%,0.00%,1.70%,54.10%,73.70%,26.30%
ITT Technical Institute at Ft. Myers (Fla.),ITT Technical Institute Ft. Myers (Fla.),357,Florida,0.00%,2.00%,16.50%,20.70%,0.00%,2.80%,42.00%,0.00%,2.80%,55.20%,49.00%,51.00%
InterCoast Colleges-Orange,InterCoast Colleges Orange,357,California,1.70%,3.60%,7.30%,26.30%,0.00%,0.00%,38.90%,0.00%,36.10%,24.90%,61.10%,38.90%
Brookline College at Albuquerque,Brookline College Albuquerque,357,New Mexico,10.60%,0.80%,2.80%,74.20%,0.30%,1.10%,89.90%,0.00%,0.00%,10.10%,79.00%,21.00%
Virginia College-Shreveport/Bossier City (La.)L,Virginia College Shreveport/Bossier City (La.)L,357,Virginia,0.00%,0.80%,75.40%,2.20%,0.00%,0.00%,78.40%,0.00%,1.10%,20.40%,88.00%,12.00%
Brown Mackie College at Boise (Idaho),Brown Mackie College Boise (Idaho),356,Idaho,1.10%,0.80%,3.70%,9.80%,0.30%,0.00%,15.70%,0.00%,0.80%,83.40%,72.50%,27.50%
Bryant & Stratton College at Amherst (N.Y.),Bryant & Stratton College Amherst (N.Y.),356,New York,0.60%,1.40%,19.70%,2.50%,0.30%,3.90%,28.40%,0.30%,0.80%,70.50%,78.10%,21.90%
South University at Cleveland,South University Cleveland,356,Ohio,1.10%,0.80%,73.00%,2.20%,0.60%,0.00%,77.80%,0.00%,2.80%,19.40%,85.40%,14.60%
Le Cordon Bleu College of Culinary Arts at Seattle (Wash.),Le Cordon Bleu College Culinary Arts Seattle (Wash.),355,Washington,0.60%,7.30%,15.80%,1.40%,3.10%,0.30%,28.50%,0.00%,23.90%,47.60%,50.40%,49.60%
International Business College at Indianapolis,International Business College Indianapolis,354,Indiana,0.00%,0.30%,8.80%,4.50%,0.30%,7.10%,20.90%,0.30%,4.00%,74.90%,81.10%,18.90%
Advanced Computing Institute,Advanced Computing Institute,354,California,0.00%,3.40%,26.80%,2.80%,0.00%,2.50%,35.60%,58.80%,0.00%,5.60%,59.90%,40.10%
Western State College of Law,Western State College Law,353,California,1.10%,13.90%,7.40%,25.20%,0.00%,0.30%,47.90%,0.80%,1.40%,49.90%,53.00%,47.00%
Good Samaritan College of Nursing and Health Science,Good Samaritan College Nursing and Health Science,353,Ohio,0.00%,1.70%,11.00%,2.50%,0.00%,0.80%,16.10%,0.00%,0.00%,83.90%,90.90%,9.10%
Tribeca Flashpoint Media Arts Academy,Tribeca Flashpoint Media Arts Academy,353,Illinois,0.30%,1.40%,8.80%,13.60%,0.00%,10.50%,34.60%,0.60%,5.40%,59.50%,21.80%,78.20%
Miller-Motte College at Greenville (N.C.),Miller Motte College Greenville (N.C.),353,North Carolina,0.60%,0.00%,75.10%,4.80%,0.00%,0.80%,81.30%,0.00%,1.10%,17.60%,86.70%,13.30%
National American University at Albuquerque,National American University Albuquerque,352,New Mexico,12.20%,1.10%,4.80%,36.60%,0.30%,9.10%,64.20%,0.00%,0.90%,34.90%,73.00%,27.00%
Fortis College at Mobile (Ala.),Fortis College Mobile (Ala.),352,Alabama,0.00%,1.40%,70.70%,1.70%,0.30%,0.90%,75.00%,0.00%,0.60%,24.40%,92.00%,8.00%
Lac Courte Oreilles Ojibwa Community College,Lac Courte Oreilles Ojibwa Community College,352,Wisconsin,73.30%,0.00%,0.30%,2.60%,0.00%,0.60%,76.70%,0.00%,0.00%,23.30%,52.00%,48.00%
ITT Technical Institute at Levittown (Pa.),ITT Technical Institute Levittown (Pa.),352,Pennsylvania,0.30%,1.40%,25.30%,19.00%,0.00%,4.00%,50.00%,0.00%,2.60%,47.40%,23.60%,76.40%
Bellin College,Bellin College,351,Wisconsin,0.90%,0.90%,0.30%,1.40%,0.30%,0.30%,4.00%,0.00%,0.90%,95.20%,92.60%,7.40%
CollegeAmerica at Colorado Springs,CollegeAmerica Colorado Springs,350,Colorado,1.40%,0.90%,16.60%,15.40%,0.60%,4.30%,39.10%,0.00%,10.30%,50.60%,61.10%,38.90%
Stevens-Henager College at Boise (Idaho),Stevens Henager College Boise (Idaho),350,Idaho,1.10%,0.90%,2.00%,20.30%,0.90%,0.60%,25.70%,0.00%,6.60%,67.70%,60.60%,39.40%
Franklin W. Olin College of Engineering,Franklin W. Olin College Engineering,350,Massachusetts,0.30%,14.60%,0.90%,3.40%,0.00%,6.00%,25.10%,10.90%,10.60%,53.40%,48.00%,52.00%
Argosy University at Schaumburg (Ill.),Argosy University Schaumburg (Ill.),349,Illinois,0.60%,5.70%,15.80%,7.20%,1.40%,0.00%,30.70%,0.00%,3.20%,66.20%,73.60%,26.40%
Vatterott College at Springfield (Mo.),Vatterott College Springfield (Mo.),348,Missouri,3.20%,0.60%,4.00%,0.90%,0.00%,1.70%,10.30%,0.00%,10.30%,79.30%,50.30%,49.70%
ITT Technical Institute at Lexington (Ky.),ITT Technical Institute Lexington (Ky.),348,Kentucky,0.00%,1.10%,25.90%,1.70%,0.30%,2.30%,31.30%,0.00%,1.10%,67.50%,46.00%,54.00%
Miller-Motte Technical College at Chattanooga (Tenn.),Miller Motte Technical College Chattanooga (Tenn.),348,Tennessee,0.00%,0.60%,18.10%,5.50%,0.00%,2.00%,26.10%,0.00%,5.20%,68.70%,87.10%,12.90%
Chattanooga College,Chattanooga College,347,Tennessee,0.00%,0.00%,36.90%,3.50%,0.00%,0.00%,40.30%,0.00%,0.00%,59.70%,85.90%,14.10%
ITT Technical Institute at Wilmington (Mass.),ITT Technical Institute Wilmington (Mass.),347,Massachusetts,1.20%,6.10%,12.40%,25.90%,0.00%,0.60%,46.10%,0.00%,4.60%,49.30%,12.70%,87.30%
Linfield College School of Nursing,Linfield College School Nursing,347,Oregon,1.70%,11.00%,2.60%,8.90%,0.00%,5.50%,29.70%,0.30%,4.60%,65.40%,80.10%,19.90%
Hebrew University ion College-Jewish Institute of Religion,Hebrew University ion College Jewish Institute Religion,346,New York,0.00%,0.30%,0.60%,0.60%,0.00%,0.90%,2.30%,5.50%,11.80%,80.30%,59.20%,40.80%
ITT Technical Institute at West Palm Beach (Fla.),ITT Technical Institute West Palm Beach (Fla.),346,Florida,0.60%,2.30%,44.20%,18.80%,0.00%,4.30%,70.20%,0.00%,3.80%,26.00%,37.00%,63.00%
Interactive College of Technology at Chamblee (Ga.),Interactive College Technology Chamblee (Ga.),346,Georgia,0.00%,17.30%,52.00%,22.30%,0.00%,0.00%,91.60%,0.00%,0.00%,8.40%,30.10%,69.90%
Glendale Career College,Glendale Career College,346,California,0.00%,13.00%,5.80%,55.80%,0.30%,0.00%,74.90%,0.00%,7.20%,17.90%,76.30%,23.70%
Ottawa University -Kansas City,Ottawa University Kansas City,346,Kansas,1.70%,3.50%,8.10%,3.50%,0.00%,2.00%,18.80%,0.60%,3.50%,77.20%,68.20%,31.80%
Fort Peck Community College,Fort Peck Community College,346,Montana,85.80%,1.20%,0.30%,1.20%,0.00%,0.00%,88.40%,0.00%,0.30%,11.30%,60.70%,39.30%
Sherman College of Chiropractic,Sherman College Chiropractic,346,South Carolina,1.20%,1.70%,4.30%,6.90%,0.30%,0.00%,14.50%,3.50%,6.40%,75.70%,43.40%,56.60%
Virginia College School of Business and HealthT,Virginia College School Business and HealthT,345,Virginia,0.00%,0.00%,46.10%,3.20%,0.00%,1.70%,51.00%,0.00%,4.90%,44.10%,79.10%,20.90%
Kaplan College at Brownsville (Tex.),Kaplan College Brownsville (Tex.),345,Texas,0.00%,0.30%,0.00%,96.50%,0.00%,0.00%,96.80%,0.00%,0.00%,3.20%,53.90%,46.10%
Crouse Hospital College of Nursing,Crouse Hospital College Nursing,345,New York,0.00%,2.30%,3.80%,1.40%,0.00%,2.30%,9.90%,0.00%,7.50%,82.60%,88.70%,11.30%
ITT Technical Institute at Madison (Ala.),ITT Technical Institute Madison (Ala.),345,Alabama,0.90%,1.40%,35.90%,3.20%,0.30%,1.40%,43.20%,0.00%,0.90%,55.90%,57.40%,42.60%
Lansdale School of Business,Lansdale School Business,344,Pennsylvania,0.00%,3.20%,13.40%,3.50%,0.00%,0.00%,20.10%,0.00%,0.00%,79.90%,80.20%,19.80%
Westwood College-Arlington Ballston,Westwood College Arlington Ballston,344,Virginia,1.20%,0.30%,73.00%,11.60%,0.00%,3.50%,89.50%,0.00%,6.40%,4.10%,53.50%,46.50%
Mesivta Torah Vodaath Seminary,Mesivta Torah Vodaath Seminary,344,New York,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,100.00%
Criswell College,Criswell College,343,Texas,0.60%,5.00%,22.20%,10.20%,0.00%,0.00%,37.90%,0.30%,5.50%,56.30%,25.40%,74.60%
Carrington College at Reno (Nev.),Carrington College Reno (Nev.),343,Nevada,0.90%,3.80%,0.90%,16.90%,2.60%,1.70%,26.80%,0.00%,1.20%,72.00%,84.30%,15.70%
South University at High Point (N.C.),South University High Point (N.C.),342,North Carolina,0.90%,0.90%,59.90%,3.50%,0.30%,0.00%,65.50%,0.00%,1.80%,32.70%,79.50%,20.50%
South Coast College,South Coast College,342,California,0.60%,8.80%,2.90%,37.70%,0.30%,5.60%,55.80%,0.30%,8.20%,35.70%,91.20%,8.80%
Everest College at Thornton (Colo.),Everest College Thornton (Colo.),342,Colorado,2.00%,0.60%,3.80%,44.20%,1.20%,5.30%,57.00%,0.00%,3.50%,39.50%,80.70%,19.30%
Westwood College-Denver North,Westwood College Denver North,342,Colorado,1.20%,2.30%,3.80%,33.30%,0.00%,4.10%,44.70%,0.00%,30.10%,25.10%,44.40%,55.60%
Remington College-Houston Southeast Campus,Remington College Houston Southeast,342,Texas,0.30%,1.50%,24.90%,36.50%,0.30%,2.60%,66.10%,0.00%,0.00%,33.90%,83.30%,16.70%
ITT Technical Institute at Hanover (Md.),ITT Technical Institute Hanover (Md.),342,Maryland,0.00%,5.60%,55.30%,6.10%,0.00%,2.30%,69.30%,0.00%,3.20%,27.50%,22.50%,77.50%
Keystone Technical Institute,Keystone Technical Institute,341,Pennsylvania,0.00%,0.00%,17.00%,2.30%,0.00%,2.90%,22.30%,0.00%,17.60%,60.10%,73.30%,26.70%
IBMC College,IBMC College,341,Colorado,0.00%,0.60%,1.50%,40.20%,0.60%,4.40%,47.20%,0.00%,0.00%,52.80%,82.10%,17.90%
Sanford-Brown Institute at Jacksonville (Fla.),Sanford Brown Institute Jacksonville (Fla.),340,Florida,0.60%,0.30%,19.70%,1.20%,0.60%,0.00%,22.40%,0.00%,40.00%,37.60%,88.50%,11.50%
Everest College at Los Angeles,Everest College Los Angeles,340,California,0.90%,3.80%,28.50%,45.60%,1.20%,6.50%,86.50%,0.00%,7.60%,5.90%,72.60%,27.40%
Brown Mackie College-South Bend,Brown Mackie College South Bend,340,Indiana,0.30%,1.20%,26.20%,7.40%,0.00%,0.00%,35.00%,0.00%,1.20%,63.80%,82.60%,17.40%
Remington College-Lafayette Campus,Remington College Lafayette,340,Louisiana,0.90%,1.80%,52.10%,2.10%,0.00%,3.20%,60.00%,0.00%,0.60%,39.40%,80.90%,19.10%
University ited States Sports Academy,University ited States Sports Academy,339,Alabama,0.60%,1.20%,17.10%,4.40%,0.30%,2.10%,25.70%,0.00%,13.60%,60.80%,26.80%,73.20%
Northwestern College (Ill.),Northwestern College (Ill.),338,Illinois,3.80%,2.40%,46.40%,30.20%,0.30%,2.40%,85.50%,0.30%,0.30%,13.90%,80.20%,19.80%
American Institute of Alternative Medicine,American Institute Alternative Medicine,337,Ohio,0.60%,4.20%,60.50%,0.90%,0.00%,1.80%,68.00%,0.00%,1.20%,30.90%,80.10%,19.90%
Kaplan Career Institute at Broomall (Pa.),Kaplan Career Institute Broomall (Pa.),337,Pennsylvania,0.00%,1.20%,47.80%,5.30%,0.00%,0.00%,54.30%,0.30%,3.00%,42.40%,45.40%,54.60%
ITT Technical Institute at Dearborn (Mich.),ITT Technical Institute Dearborn (Mich.),336,Michigan,0.30%,1.50%,61.90%,3.30%,0.00%,3.60%,70.50%,0.00%,5.10%,24.40%,33.30%,66.70%
Arizona College at Mesa,Arizona College Mesa,336,Arizona,14.90%,1.50%,8.60%,35.40%,0.90%,1.50%,62.80%,0.00%,0.60%,36.60%,86.60%,13.40%
Penn Commercial Business/Technical School,Penn Commercial Business/Technical School,335,Pennsylvania,0.00%,0.00%,11.90%,0.30%,0.00%,2.10%,14.30%,0.00%,0.00%,85.70%,69.60%,30.40%
Strayer University -Christiana (Del.),Strayer University Christiana (Del.),335,Delaware,0.30%,0.90%,56.10%,6.90%,0.00%,2.40%,66.60%,0.30%,2.10%,31.00%,66.30%,33.70%
ITT Technical Institute at Miami (Fla.),ITT Technical Institute Miami (Fla.),335,Florida,0.60%,0.60%,22.70%,64.80%,0.00%,1.80%,90.40%,0.30%,3.30%,6.00%,34.90%,65.10%
ITT Technical Institute at Columbus (Ohio),ITT Technical Institute Columbus (Ohio),335,Ohio,0.30%,0.00%,46.30%,3.30%,0.00%,6.30%,56.10%,0.00%,3.60%,40.30%,29.00%,71.00%
YTI Career Institute at Altoona,YTI Career Institute Altoona,334,Pennsylvania,0.30%,0.30%,2.40%,0.90%,0.00%,2.70%,6.60%,0.00%,0.00%,93.40%,71.30%,28.70%
Iliff School of Theology,Iliff School Theology,333,Colorado,1.50%,2.70%,8.10%,3.90%,0.00%,1.50%,17.70%,0.30%,2.40%,79.60%,56.50%,43.50%
MedTech College at Ft. Wayne (Ind.),MedTech College Ft. Wayne (Ind.),333,Indiana,0.00%,0.90%,21.60%,4.20%,0.00%,2.40%,29.10%,0.00%,0.90%,70.00%,93.10%,6.90%
University timate Medical Academy at Clearwater,University timate Medical Academy Clearwater,332,Florida,1.20%,2.10%,29.50%,9.60%,0.60%,2.10%,45.20%,0.00%,11.10%,43.70%,84.00%,16.00%
College of St. Joseph,College St Joseph,332,Vermont,0.00%,0.30%,16.30%,7.50%,0.00%,0.00%,24.10%,0.60%,0.00%,75.30%,52.10%,47.90%
Herzing University at Brookfield (Wis.),Herzing University Brookfield (Wis.),332,Wisconsin,0.30%,1.50%,16.60%,5.40%,0.00%,3.60%,27.40%,0.00%,9.90%,62.70%,79.50%,20.50%
"Orleans Technical Institute, Center City Campus","Orleans Technical Institute, Center City",332,Pennsylvania,0.00%,2.10%,34.30%,14.20%,0.00%,1.80%,52.40%,0.00%,14.20%,33.40%,29.50%,70.50%
Bethesda University of California,Bethesda University California,331,California,0.00%,57.70%,11.50%,17.80%,0.00%,0.00%,87.00%,1.20%,2.70%,9.10%,39.30%,60.70%
Valley College at Beckley,Valley College Beckley,331,West Virginia,0.30%,0.30%,15.70%,0.30%,0.30%,3.30%,20.20%,0.00%,0.00%,79.80%,83.70%,16.30%
Widener University at Harrisburg,Widener University Harrisburg,330,Pennsylvania,0.90%,3.60%,8.50%,3.90%,0.00%,0.30%,17.30%,0.00%,2.70%,80.00%,56.70%,43.30%
Northwood University (Tex.),Northwood University (Tex.),330,Texas,0.60%,0.90%,39.10%,18.80%,0.00%,0.60%,60.00%,0.90%,19.70%,19.40%,58.50%,41.50%
Talmudical Seminary Oholei Torah,Talmudical Seminary Oholei Torah,330,New York,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,100.00%
ITT Technical Institute at Oklahoma City,ITT Technical Institute Oklahoma City,330,Oklahoma,4.50%,3.30%,29.10%,8.80%,0.00%,3.30%,49.10%,0.00%,3.00%,47.90%,51.80%,48.20%
Everest College at Colorado Springs,Everest College Colorado Springs,330,Colorado,2.10%,0.60%,24.80%,16.70%,1.80%,10.60%,56.70%,0.00%,1.50%,41.80%,69.10%,30.90%
Welch College,Welch College,329,Tennessee,0.30%,0.60%,9.10%,2.70%,0.00%,1.20%,14.00%,5.80%,0.00%,80.20%,45.00%,55.00%
"Art Institute of Fort Worth, a Campus of South University","Art Institute Fort Worth, a South University",329,Texas,0.90%,0.90%,13.70%,28.30%,0.90%,4.00%,48.60%,0.00%,1.80%,49.50%,46.20%,53.80%
Brown Mackie College at Oklahoma City,Brown Mackie College Oklahoma City,329,Oklahoma,4.90%,0.90%,42.20%,13.10%,0.00%,0.00%,61.10%,0.00%,1.20%,37.70%,83.00%,17.00%
Bard College at Simon's Rock,Bard College Simon's Rock,329,Massachusetts,0.30%,5.80%,5.50%,2.40%,0.30%,7.00%,21.30%,14.90%,11.90%,52.00%,59.00%,41.00%
Everest College at Aurora (Colo.),Everest College Aurora (Colo.),328,Colorado,0.90%,2.10%,23.80%,25.90%,0.90%,11.90%,65.50%,0.00%,11.00%,23.50%,76.80%,23.20%
Assemblies of God Theological Seminary,Assemblies God Theological Seminary,327,Missouri,1.20%,0.30%,4.60%,3.70%,2.40%,1.20%,13.50%,2.40%,5.20%,78.90%,27.50%,72.50%
Talmudical Seminary of Bobov,Talmudical Seminary Bobov,327,New York,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,100.00%
ITT Technical Institute at Getzville (N.Y.),ITT Technical Institute Getzville (N.Y.),326,New York,2.10%,1.50%,32.20%,4.00%,0.00%,2.80%,42.60%,0.00%,1.50%,55.80%,27.00%,73.00%
City University of New York-School of Law at Queens College,City University New York School Law Queens College,325,New York,0.30%,11.70%,10.80%,18.80%,0.00%,1.80%,43.40%,1.50%,0.00%,55.10%,64.60%,35.40%
Gwinnett College,Gwinnett College,325,Georgia,0.00%,4.60%,64.90%,10.20%,0.00%,0.00%,79.70%,0.00%,0.00%,20.30%,89.80%,10.20%
Rainy River Community College,Rainy River Community College,325,Minnesota,2.50%,0.90%,10.20%,3.40%,0.30%,5.20%,22.50%,6.80%,1.50%,69.20%,52.90%,47.10%
Carrington College at Las Vegas,Carrington College Las Vegas,325,Nevada,0.60%,15.70%,15.40%,20.90%,6.80%,2.80%,62.20%,0.00%,2.50%,35.40%,67.70%,32.30%
Remington College at Houston,Remington College Houston,325,Texas,0.00%,4.00%,50.50%,31.70%,0.00%,2.20%,88.30%,0.30%,0.00%,11.40%,76.30%,23.70%
Vatterott College-Oklahoma City,Vatterott College Oklahoma City,324,Oklahoma,3.10%,1.20%,46.30%,4.30%,0.00%,4.60%,59.60%,0.00%,0.00%,40.40%,43.20%,56.80%
Virginia University of Lynchburg,Virginia University Lynchburg,324,Virginia,0.00%,0.00%,98.50%,0.60%,0.00%,0.00%,99.10%,0.00%,0.00%,0.90%,45.10%,54.90%
American Film Institute Conservatory,American Film Institute Conservatory,324,California,1.20%,5.60%,3.70%,9.60%,0.00%,2.50%,22.50%,32.40%,6.20%,38.90%,41.00%,59.00%
California Miramar University,California Miramar University,324,California,0.30%,4.60%,5.20%,2.50%,0.00%,1.20%,13.90%,0.00%,1.20%,84.90%,30.90%,69.10%
California College San Diego,California College San Diego,322,California,0.90%,3.70%,16.10%,50.90%,2.20%,0.30%,74.20%,0.00%,0.30%,25.50%,55.90%,44.10%
All-State Career School-Allied Health Campus,All State Career School Allied Health,322,Pennsylvania,0.00%,0.60%,64.60%,5.00%,0.00%,0.60%,70.80%,0.00%,0.60%,28.60%,54.00%,46.00%
Concordia Theological Seminary,Concordia Theological Seminary,322,Indiana,0.00%,1.90%,2.20%,0.60%,0.00%,1.20%,5.90%,6.50%,9.60%,78.00%,10.60%,89.40%
Bryan University at Springfield (Mo.),Bryan University Springfield (Mo.),322,Missouri,1.20%,0.60%,18.90%,5.30%,0.30%,4.00%,30.40%,0.00%,10.60%,59.00%,64.90%,35.10%
Hohokus School-RETS Nutley,Hohokus School RETS Nutley,321,New Jersey,0.30%,1.20%,22.40%,42.10%,0.60%,0.00%,66.70%,0.00%,3.40%,29.90%,56.40%,43.60%
Rabbinical College Bobover Yeshiva B'nei Zion,Rabbinical College Bobover Yeshiva B'nei Zion,321,New York,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,100.00%
College of Health Care Professions at San Antonio,College Health Care Professions San Antonio,321,Texas,0.00%,1.90%,10.90%,60.10%,0.00%,1.20%,74.10%,0.00%,0.00%,25.90%,80.10%,19.90%
Stevens Henager College at Ogden (University ah),Stevens Henager College Ogden (University ah),321,Utah,0.90%,0.30%,2.50%,10.30%,0.30%,1.20%,15.60%,0.00%,4.70%,79.80%,71.00%,29.00%
Faith Evangelical College and Seminary,Faith Evangelical College and Seminary,320,Washington,0.30%,9.40%,38.40%,4.70%,0.00%,3.10%,55.90%,10.90%,8.10%,25.00%,24.10%,75.90%
MedTechÊInstitute at Atlanta,MedTechÊInstitute Atlanta,320,Georgia,0.00%,0.30%,84.70%,5.90%,0.00%,1.60%,92.50%,0.00%,1.60%,5.90%,84.70%,15.30%
ITT Technical Institute-Charlotte South (N.C.),ITT Technical Institute Charlotte South (N.C.),319,North Carolina,0.60%,2.80%,56.70%,10.30%,0.00%,2.50%,73.00%,0.00%,2.20%,24.80%,31.00%,69.00%
ITT Technical Institute-Phoenix West,ITT Technical Institute Phoenix West,319,Arizona,2.50%,3.10%,14.40%,38.90%,0.30%,4.10%,63.30%,0.00%,3.80%,32.90%,23.80%,76.20%
Miller-Motte Technical College at Madison (Tenn.),Miller Motte Technical College Madison (Tenn.),319,Tennessee,0.90%,0.60%,39.80%,4.40%,0.00%,2.20%,48.00%,0.00%,1.90%,50.20%,40.80%,59.20%
Jamestown Business College,Jamestown Business College,318,New York,6.30%,0.00%,1.90%,16.00%,0.60%,3.80%,28.60%,0.00%,0.90%,70.40%,71.40%,28.60%
Akron Institute of Herzing University,Akron Institute Herzing University,318,Ohio,0.00%,0.30%,36.80%,1.90%,0.00%,5.00%,44.00%,0.00%,3.80%,52.20%,84.60%,15.40%
Le Cordon Bleu College of Culinary Arts at Sacramento (Calif.),Le Cordon Bleu College Culinary Arts Sacramento (Calif.),318,California,1.30%,6.30%,11.90%,3.50%,2.80%,0.60%,26.40%,0.00%,39.30%,34.30%,46.90%,53.10%
TESST College of Technology at Towson (Md.),TESST College Technology Towson (Md.),318,Maryland,0.30%,1.30%,72.60%,1.90%,0.00%,0.00%,76.10%,0.00%,0.60%,23.30%,78.30%,21.70%
Digital Media Arts College,Digital Media Arts College,317,Florida,0.30%,2.50%,20.80%,26.50%,0.00%,2.50%,52.70%,0.00%,11.00%,36.30%,35.30%,64.70%
Lakeview College of Nursing,Lakeview College Nursing,317,Illinois,0.60%,1.90%,8.80%,1.60%,0.60%,1.30%,14.80%,0.00%,0.90%,84.20%,85.50%,14.50%
Los Angeles ORT College at Van Nuys (Calif.),Los Angeles ORT College Van Nuys (Calif.),317,California,0.00%,2.80%,0.60%,24.90%,0.00%,0.00%,28.40%,0.00%,0.00%,71.60%,64.40%,35.60%
St. Joseph's College of Nursing (N.Y.),St Joseph's College Nursing (N.Y.),317,New York,0.90%,3.50%,2.50%,3.20%,0.00%,0.30%,10.40%,0.00%,0.00%,89.60%,89.90%,10.10%
Kaplan College at Dayton (Ohio),Kaplan College Dayton (Ohio),317,Ohio,0.30%,0.60%,36.60%,2.80%,0.00%,0.00%,40.40%,0.00%,2.20%,57.40%,81.40%,18.60%
