University_Name,University_Name_Clean,Total_Enrollment,State,American_Indian_Alaska_Native_Diversity_Percent,Asian_Diversity_Percent,Black_Diversity_Percent,Hispanic_Diversity_Percent,Native_Hawaiian_Pacific_Islander_Diversity_Percent,Two_Or_More_Races_Diversity_Percent,Total_Minority_Diversity_Percent,Non-Resident_Foreign_Diversity_Percent,Unknown_Diversity_Percent,White_Diversity_Percent,Women_Diversity_Percent,Men_Diversity_Percent
West Virginia University,West Virginia University,29175,West Virginia,0.10%,1.90%,4.20%,3.20%,0.10%,3.00%,12.50%,7.00%,0.40%,80.00%,48.20%,51.80%
University of North Carolina at Chapel Hill,University North Carolina Chapel Hill,29135,North Carolina,0.50%,8.30%,7.90%,6.50%,0.20%,4.60%,27.90%,5.50%,2.90%,63.70%,56.60%,43.40%
American River College,American River College,29133,California,0.80%,10.60%,10.30%,20.70%,0.90%,5.90%,49.20%,0.50%,3.80%,46.40%,54.10%,45.90%
Mt. San Antonio College,Mt. San Antonio College,29045,California,0.20%,17.40%,4.30%,60.10%,0.30%,3.00%,85.20%,1.70%,1.00%,12.10%,51.50%,48.50%
Oregon State University,Oregon State University,28886,Oregon,0.60%,6.60%,1.40%,7.30%,0.30%,5.70%,21.90%,11.10%,3.00%,64.10%,46.50%,53.50%
Harvard University,Harvard University,28791,Massachusetts,0.20%,14.70%,5.20%,7.90%,0.10%,3.60%,31.60%,16.60%,6.10%,45.60%,48.50%,51.50%
Washington State University,Washington State University,28686,Washington,0.60%,5.20%,3.10%,10.70%,0.30%,6.50%,26.50%,6.80%,4.00%,62.70%,51.30%,48.70%
University of Massachusetts at Amherst,University Massachusetts Amherst,28635,Massachusetts,0.20%,7.60%,3.80%,4.80%,0.10%,2.20%,18.60%,7.50%,9.60%,64.30%,49.40%,50.60%
University of Texas at San Antonio,University Texas San Antonio,28628,Texas,0.20%,5.20%,8.60%,48.40%,0.20%,2.90%,65.50%,5.90%,1.10%,27.60%,49.20%,50.80%
University of Pittsburgh main campus,University Pittsburgh Pittsburgh,28617,Pennsylvania,0.10%,7.60%,4.90%,2.90%,0.00%,2.60%,18.10%,10.20%,3.10%,68.60%,52.10%,47.90%
Palm Beach State College,Palm Beach State College,28517,Florida,0.20%,2.80%,23.40%,27.00%,0.20%,2.00%,55.60%,1.80%,4.50%,38.10%,56.60%,43.40%
University of Nevada at Las Vegas,University Nevada Las Vegas,28515,Nevada,0.30%,14.20%,7.50%,22.70%,1.30%,8.10%,54.20%,4.10%,2.20%,39.60%,55.40%,44.60%
El Paso Community College,El Paso Community College,28308,Texas,0.30%,0.70%,2.40%,85.50%,0.20%,0.00%,89.10%,1.90%,1.10%,7.80%,56.90%,43.10%
