Rank,University_Name,State,Region,Division,Early_Career_Pay,Mid_Career_Pay,Make_World_Better_Percent,Stem_Percent,Type,Degree_Length,Room_And_Board,In_State_Tuition,In_State_Total,Out_Of_State_Tuition,Out_Of_State_Total,Total_Enrollment,American_Indian_Alaska_Native_Diversity_Percent,Asian_Diversity_Percent,Black_Diversity_Percent,Hispanic_Diversity_Percent,Native_Hawaiian_Pacific_Islander_Diversity_Percent,Two_Or_More_Races_Diversity_Percent,Total_Minority_Diversity_Percent,Non-Resident_Foreign_Diversity_Percent,Unknown_Diversity_Percent,White_Diversity_Percent,Women_Diversity_Percent,Men_Diversity_Percent
2,Rhodes College,Tennessee,South,East South Central,51900,97800,46,25,Private,4 Year,11403,47890,59293,47890,59293,2054,0,0.07,0.06,0.04,0,0.03,0.2,0.03,0.02,0.75,0.58,0.42
2,King's University,Texas,South,West South Central,63800,116500,33,0,Private,4 Year,,15000,15000,15000,15000,692,0.01,0.05,0.16,0.11,0,0.08,0.41,0,0.02,0.57,0.48,0.52
2,University Utah,Utah,West,Mountain,54800,102600,57,22,Public,4 Year,10262,9222,19484,29215,39477,31515,0,0.05,0.01,0.09,0.01,0.03,0.19,0.09,0.04,0.68,0.45,0.56
2,University Vermont,Vermont,Northeast,New England,53200,99400,50,22,Public,4 Year,12462,18276,30738,42516,54978,12856,0,0.03,0.01,0.04,0,0.03,0.11,0.04,0.04,0.8,0.56,0.44
2,Virginia Military Institute,Virginia,South,South Atlantic,65900,120600,68,47,Public,4 Year,9428,18862,28290,45706,55134,1700,0,0.04,0.05,0.05,0.01,0.02,0.17,0.02,0,0.81,0.11,0.89
2,University Washington Seattle,Washington,West,Pacific,61900,112300,51,34,Public,4 Year,12798,11517,24315,36898,49696,44784,0.01,0.19,0.02,0.07,0,0.05,0.35,0.15,0.04,0.47,0.52,0.48
2,West Virginia University,West Virginia,South,South Atlantic,54400,99900,52,22,Public,4 Year,10918,8856,19774,24950,35868,29175,0,0.02,0.04,0.03,0,0.03,0.13,0.07,0,0.8,0.48,0.52
2,Marquette University,Wisconsin,Midwest,East North Central,57800,105900,52,25,Private,4 Year,12720,41870,54590,41870,54590,11745,0,0.05,0.04,0.08,0,0.03,0.2,0.05,0.04,0.71,0.53,0.48
3,University Alabama,Alabama,South,East South Central,52300,97400,50,15,Public,4 Year,10102,10780,20882,29230,39332,36047,0,0.01,0.11,0.03,0,0.03,0.19,0.05,0,0.76,0.55,0.45
3,Alaska Pacific University,Alaska,West,Pacific,50300,90000,67,6,Private,4 Year,7300,20830,28130,20830,28130,579,0.15,0.02,0.02,0.03,0.01,0.07,0.29,0,0.15,0.55,0.66,0.34
3,Arizona State University Tempe,Arizona,West,Mountain,54500,100900,52,30,Public,4 Year,12648,10822,23470,28336,40984,50320,0.01,0.06,0.04,0.16,0,0.04,0.31,0.16,0.01,0.52,0.43,0.57
3,University Arkansas for Medical Sciences,Arkansas,South,West South Central,51700,89100,84,3,Public,4 Year,,8197,8197,15973,15973,2890,0,0.05,0.09,0.03,0,0.02,0.2,0.02,0.03,0.75,0.65,0.35
