Name,University_Name_Clean,State,State_Code,Type,Degree_Length,Room_And_Board,In_State_Tuition,In_State_Total,Out_Of_State_Tuition,Out_Of_State_Total
Vanguard University of Southern California,Vanguard University Southern California,California,CA,Private,4 Year,10520,33700,44220,33700,44220
Vassar College,Vassar College,New York,NY,Private,4 Year,13550,56960,70510,56960,70510
Vaughn College of Aeronautics and Technology,Vaughn College Aeronautics and Technology,New York,NY,Private,4 Year,14550,25710,40260,25710,40260
Ventura College,Ventura College,California,CA,Public,2 Year,,1418,1418,9218,9218
Vermilion Community College,Vermilion Community College,Minnesota,MN,Public,2 Year,6290,5324,11614,6506,12796
Vermont Technical College,Vermont Technical College,Vermont,VT,Public,4 Year,10598,15108,25706,27780,38378
Vernon College,Vernon College,Texas,TX,Public,2 Year,4096,3000,7096,6300,10396
Victor Valley College,Victor Valley College,California,CA,Public,2 Year,5418,1402,6820,9142,14560
Victoria College,Victoria College,Texas,TX,Public,2 Year,,2790,2790,5040,5040
Villa Maria College of Buffalo,Villa Maria College Buffalo,New York,NY,Private,4 Year,,22600,22600,22600,22600
Villanova University,Villanova University,Pennsylvania,PA,Private,4 Year,14020,53308,67328,53308,67328
Vincennes University,Vincennes University,Indiana,IN,Public,2 Year,9990,5902,15892,13959,23949
Virginia Baptist College,Virginia Baptist College,Virginia,VA,Private,4 Year,,5800,5800,5800,5800
Virginia Commonwealth University,Virginia Commonwealth University,Virginia,VA,Public,4 Year,10428,14490,24918,35138,45566
Virginia Highlands Community College,Virginia Highlands Community College,Virginia,VA,Public,2 Year,,4710,4710,10638,10638
Virginia Marti College of Art and Design,Virginia Marti College Art and Design,Ohio,OH,For Profit,2 Year,,20700,20700,20700,20700
Virginia Military Institute,Virginia Military Institute,Virginia,VA,Public,4 Year,9428,18862,28290,45706,55134
Virginia Polytechnic Institute and State University,Virginia Polytechnic Institute and State University,Virginia,VA,Public,4 Year,8934,13620,22554,31304,40238
Virginia State University,Virginia State University,Virginia,VA,Public,4 Year,11208,9056,20264,19576,30784
Virginia Union University,Virginia Union University,Virginia,VA,Private,4 Year,8598,17448,26046,17448,26046
Virginia University of Lynchburg,Virginia University Lynchburg,Virginia,VA,Private,4 Year,9400,9000,18400,9000,18400
Virginia Wesleyan University,Virginia Wesleyan University,Virginia,VA,Private,4 Year,9256,36660,45916,36660,45916
Virginia Western Community College,Virginia Western Community College,Virginia,VA,Public,2 Year,,5355,5355,11283,11283
Visible Music College,Visible Music College,Tennessee,TN,Private,4 Year,6000,19500,25500,19500,25500
Viterbo University,Viterbo University,Wisconsin,WI,Private,4 Year,9060,27970,37030,27970,37030
Volunteer State Community College,Volunteer State Community College,Tennessee,TN,Public,2 Year,,4229,4229,16517,16517
Voorhees College,Voorhees College,South Carolina,SC,Private,4 Year,7346,12630,19976,12630,19976
W.L. Bonner Bible College,W.L. Bonner Bible College,South Carolina,SC,Private,4 Year,2576,8868,11444,8868,11444
Wabash College,Wabash College,Indiana,IN,Private,4 Year,10050,43450,53500,43450,53500
Wade College,Wade College,Texas,TX,For Profit,2 Year,,16650,16650,16650,16650
Wagner College,Wagner College,New York,NY,Private,4 Year,14124,47090,61214,47090,61214
